TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
2.31419e+06 0.209981 901 2761
2.47959e+06 0.220299 979 3517
2.41547e+06 0.224217 913 2596
2.45281e+06 0.214053 962 3709
2.41913e+06 0.228545 929 2694
2.42777e+06 0.206461 964 2742
2.37432e+06 0.219454 952 4560
2.7291e+06 0.229742 1041 3010
2.58027e+06 0.212053 999 2450
2.34247e+06 0.211255 888 2308
2.31967e+06 0.198864 924 2694
2.56651e+06 0.218386 970 2818
2.33143e+06 0.202058 911 2764
2.43283e+06 0.233059 905 2851
2.18806e+06 0.215937 877 2755
2.37909e+06 0.218027 934 3377
2.39204e+06 0.201677 941 2722
2.41543e+06 0.230483 920 2661
2.17476e+06 0.208912 842 2564
2.51634e+06 0.22891 954 2950
2.33518e+06 0.214319 909 2717
2.37998e+06 0.207689 936 2350
2.29182e+06 0.207792 919 2614
2.62147e+06 0.222623 1004 3260
2.44141e+06 0.218985 964 3407
2.37451e+06 0.208822 933 3502
2.57275e+06 0.224648 988 2948
2.48632e+06 0.225526 944 3015
2.44897e+06 0.224406 922 2799
2.55835e+06 0.210934 996 3488
2.57288e+06 0.21549 1000 3916
2.51736e+06 0.219568 975 3256
2.45348e+06 0.224766 957 4080
2.29877e+06 0.214931 900 2323
2.30231e+06 0.201026 891 2358
2.33304e+06 0.225975 909 2590
2.61456e+06 0.212892 1021 4643
2.41385e+06 0.22044 910 2945
2.51324e+06 0.223714 930 2446
2.42748e+06 0.214914 939 2647
2.66451e+06 0.237579 1018 2946
2.61262e+06 0.225836 999 3708
2.2846e+06 0.193517 939 3049
2.4986e+06 0.22207 957 2451
2.33872e+06 0.21182 919 2715
2.47783e+06 0.21451 921 2694
2.46321e+06 0.213462 955 2922
2.63505e+06 0.207211 1047 3394
2.45345e+06 0.211044 974 3278
2.54127e+06 0.22448 993 3269
2.38967e+06 0.205081 924 2782
2.44322e+06 0.226914 938 2466
2.50267e+06 0.214975 972 3249
2.52348e+06 0.21298 978 2586
2.40655e+06 0.22336 924 3159
2.43716e+06 0.217864 971 3376
2.48212e+06 0.213488 979 3631
2.49191e+06 0.223186 947 2855
2.50463e+06 0.22377 979 2760
2.53127e+06 0.213992 983 3125
2.26886e+06 0.208073 904 2676
2.28474e+06 0.212235 880 2129
2.29495e+06 0.209444 880 2392
2.41726e+06 0.189826 984 3434
2.37248e+06 0.224719 911 3106
2.70115e+06 0.230317 1049 3236
2.57451e+06 0.209016 1007 4017
2.54074e+06 0.229704 1039 3713
2.32669e+06 0.210254 907 2694
2.59952e+06 0.21067 1021 2975
2.54209e+06 0.211111 1010 3443
2.47801e+06 0.222519 903 2751
2.32484e+06 0.219593 903 2549
3.00722e+06 0.223218 1218 4207
2.45458e+06 0.218049 936 2556
2.40027e+06 0.219639 953 2863
2.33182e+06 0.207503 892 3381
2.37889e+06 0.21172 943 2572
2.43337e+06 0.207556 961 3076
2.29621e+06 0.208471 891 2834
2.3376e+06 0.223697 908 2860
2.67877e+06 0.203274 1070 3189
2.31575e+06 0.217494 899 2517
2.23337e+06 0.195122 891 2873
2.30367e+06 0.208197 882 2546
2.94643e+06 0.218472 1171 3900
2.49002e+06 0.222892 969 2626
2.3953e+06 0.217652 914 2612
2.29046e+06 0.209082 894 2423
2.3687e+06 0.215704 900 2613
2.35358e+06 0.210926 936 2939
2.42913e+06 0.208942 925 2639
2.4687e+06 0.223956 941 2961
2.27194e+06 0.192125 906 3048
2.44574e+06 0.212815 935 2725
2.39532e+06 0.214825 948 2849
2.42151e+06 0.220989 927 3440
3.25585e+06 0.228422 1307 5605
2.84484e+06 0.226423 1109 4871
2.34882e+06 0.208872 897 2703
2.46432e+06 0.21396 940 2395
2.25638e+06 0.203527 890 2498
2.51381e+06 0.224011 971 3482
2.37592e+06 0.200469 944 2521
2.48724e+06 0.216026 991 3111
2.34018e+06 0.224709 886 2554
2.43773e+06 0.213819 958 3470
2.64459e+06 0.209217 1065 4868
2.441e+06 0.217003 966 3443
2.26853e+06 0.218855 893 2586
2.60797e+06 0.22604 998 3516
2.30429e+06 0.219913 920 3267
2.45999e+06 0.218577 951 2266
2.4423e+06 0.220339 926 2810
2.47146e+06 0.231371 937 2924
2.58375e+06 0.212442 1026 3691
2.47994e+06 0.230698 960 3152
2.42418e+06 0.222945 933 2588
2.28288e+06 0.211638 876 2672
2.4621e+06 0.238588 958 2878
2.4139e+06 0.216519 940 3252
2.31646e+06 0.225867 877 2436
2.37544e+06 0.203624 962 3802
2.71638e+06 0.211512 1091 3625
2.47975e+06 0.209945 967 3140
2.34487e+06 0.21163 935 2440
2.50477e+06 0.217352 962 3285
2.96025e+06 0.219023 1149 3942
2.38799e+06 0.21222 929 2673
2.40716e+06 0.214584 932 3009
2.24402e+06 0.216723 879 2568
2.21391e+06 0.205116 880 2739
2.47815e+06 0.218281 939 2650
2.33267e+06 0.216404 882 2352
2.41292e+06 0.215794 917 3144
2.50259e+06 0.21458 969 2647
2.71984e+06 0.212683 1004 3110
2.5868e+06 0.201486 1050 3978
2.49114e+06 0.215967 970 3465
2.43788e+06 0.20753 941 3082
2.73284e+06 0.218564 1096 4256
2.38836e+06 0.218056 912 2456
2.49355e+06 0.21976 969 2860
2.58358e+06 0.214219 1037 4077
2.55625e+06 0.215477 1016 3760
2.42916e+06 0.212418 955 2866
2.31534e+06 0.221002 908 3759
2.2873e+06 0.215007 909 2535
2.55255e+06 0.221619 971 2978
2.41892e+06 0.206865 945 3500
2.30155e+06 0.213263 908 2836
2.32186e+06 0.193253 956 2524
