TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
1.86772e+06 0.217699 657 1986
1.83432e+06 0.212317 638 1746
1.9796e+06 0.246368 644 1753
1.97084e+06 0.234312 656 2015
1.86824e+06 0.214617 642 1861
1.86626e+06 0.213076 653 1979
1.92247e+06 0.231352 645 1761
1.79406e+06 0.212048 645 1846
1.93712e+06 0.224584 653 2083
2.05752e+06 0.246622 654 1724
1.93441e+06 0.222851 634 1850
1.90969e+06 0.22235 643 1836
1.80702e+06 0.20963 626 1670
1.93496e+06 0.230237 643 2171
1.99624e+06 0.231632 643 1690
1.76401e+06 0.189977 636 2020
1.91428e+06 0.229912 652 2249
1.90084e+06 0.218516 644 1667
1.77124e+06 0.215565 653 1848
1.79317e+06 0.2033 637 1780
1.85203e+06 0.2137 645 1913
1.89408e+06 0.22468 640 1779
1.91069e+06 0.228255 647 2032
1.78962e+06 0.211829 645 2167
1.97411e+06 0.223345 650 2204
1.8803e+06 0.224633 640 1765
1.87747e+06 0.217189 644 2195
1.73439e+06 0.201941 635 1745
1.90776e+06 0.22267 639 1548
1.91554e+06 0.225862 634 2182
1.8115e+06 0.210619 633 1798
1.86679e+06 0.219154 647 2054
1.94567e+06 0.22895 654 1690
2.12107e+06 0.259777 653 1769
1.86271e+06 0.214037 639 1924
1.95589e+06 0.223159 640 1950
1.89131e+06 0.215856 653 1941
1.84979e+06 0.203545 638 1951
1.90016e+06 0.218949 649 1884
1.98458e+06 0.226426 658 1784
1.79927e+06 0.204167 653 1814
1.93391e+06 0.230858 637 1785
1.84446e+06 0.214244 645 1824
1.79296e+06 0.209344 626 1743
1.88685e+06 0.23045 644 1950
1.98787e+06 0.230856 645 2054
1.8587e+06 0.215116 637 2051
2.00906e+06 0.242201 641 1852
1.98053e+06 0.218162 649 2050
1.76172e+06 0.193586 626 1827
2.01481e+06 0.240023 659 2134
2.07776e+06 0.241873 649 1708
1.8448e+06 0.217009 634 1744
1.7428e+06 0.20613 618 1753
1.91382e+06 0.220378 642 1807
1.87743e+06 0.230815 642 1853
1.9687e+06 0.227222 639 1976
1.87422e+06 0.217416 631 2187
2.01199e+06 0.239093 650 1775
1.90619e+06 0.214734 648 1733
1.86112e+06 0.219929 646 2136
1.98674e+06 0.233181 656 1858
1.77553e+06 0.193473 635 1676
1.8922e+06 0.218949 643 1895
1.89293e+06 0.217391 652 1981
1.86347e+06 0.217063 633 1675
1.91428e+06 0.224726 644 1909
1.93791e+06 0.223744 647 1843
1.99831e+06 0.245132 639 1792
1.7992e+06 0.21147 639 1871
1.96668e+06 0.23339 635 1720
1.84218e+06 0.217054 655 1749
2.0888e+06 0.242826 657 1952
1.86891e+06 0.223599 643 1810
1.90642e+06 0.21947 648 1849
1.82108e+06 0.213397 640 2261
1.61395e+06 0.180025 621 2424
1.96753e+06 0.229321 653 2355
1.76048e+06 0.198108 631 1748
1.85191e+06 0.215869 635 1669
1.95409e+06 0.232173 635 1791
1.85284e+06 0.230861 630 1895
2.1429e+06 0.254526 655 1605
1.92602e+06 0.236704 637 1970
1.89042e+06 0.228657 663 2399
1.86962e+06 0.222288 653 2036
2.01734e+06 0.235031 646 1784
1.87336e+06 0.208333 640 1948
1.82765e+06 0.207921 635 1915
2.00959e+06 0.232831 643 1913
1.84296e+06 0.226247 625 2119
2.02214e+06 0.24095 650 2331
1.94866e+06 0.22831 642 2011
1.90613e+06 0.228152 650 1699
1.92141e+06 0.222992 654 1701
1.80876e+06 0.203725 631 1920
1.79828e+06 0.208457 642 2054
1.90656e+06 0.224088 643 1826
1.87755e+06 0.223068 640 1681
1.84295e+06 0.214202 640 1876
1.95462e+06 0.236735 656 1955
1.84584e+06 0.207944 652 1792
1.90372e+06 0.217045 633 1797
1.89255e+06 0.233533 656 1764
1.7663e+06 0.208183 632 1960
1.81295e+06 0.207625 634 1915
1.9786e+06 0.221974 648 1834
2.10605e+06 0.246681 662 1830
1.81154e+06 0.215733 634 1681
1.90634e+06 0.216771 641 1969
1.77712e+06 0.196124 639 2176
1.84956e+06 0.217009 637 1784
1.90044e+06 0.222287 647 2141
1.88447e+06 0.21937 650 2093
1.80968e+06 0.201393 634 2172
1.93744e+06 0.229846 633 1736
1.8454e+06 0.213115 642 1773
1.84457e+06 0.211079 641 1908
1.9165e+06 0.223374 644 1828
1.75176e+06 0.194643 642 2523
1.79464e+06 0.199767 632 1836
2.08574e+06 0.237102 661 1895
1.99712e+06 0.227651 640 1834
2.10373e+06 0.246711 647 2053
1.87161e+06 0.218277 640 1696
1.97068e+06 0.230725 653 1978
1.83332e+06 0.211799 647 1654
1.84524e+06 0.215537 632 2097
1.95725e+06 0.227531 646 1706
1.85658e+06 0.227893 630 1693
1.96046e+06 0.235877 661 1995
1.74528e+06 0.201796 627 1649
1.97632e+06 0.240069 644 1878
1.81094e+06 0.199192 634 1731
1.8987e+06 0.21519 652 2082
1.8509e+06 0.221234 643 1810
1.83974e+06 0.221097 641 2240
1.93924e+06 0.22748 636 1742
1.90867e+06 0.224028 648 1741
1.81743e+06 0.221885 650 1644
1.98871e+06 0.236571 652 2383
1.80198e+06 0.215137 628 2172
1.98544e+06 0.235955 626 1679
1.895e+06 0.225844 637 1950
1.93802e+06 0.221969 647 1868
1.88028e+06 0.214203 646 1999
1.91354e+06 0.233392 645 1780
1.90199e+06 0.216542 648 2017
1.81892e+06 0.211118 641 1842
1.84711e+06 0.221695 638 2038
1.94014e+06 0.236353 640 1809
1.85016e+06 0.224405 639 1833
1.84863e+06 0.209742 624 2050
1.88592e+06 0.227033 635 2168
1.91481e+06 0.230769 652 2010
1.84707e+06 0.217163 628 1920
1.91577e+06 0.223556 633 1725
1.80164e+06 0.219527 640 1818
2.04971e+06 0.240803 649 1763
2.13989e+06 0.249865 643 1863
1.92245e+06 0.235465 630 2146
1.9151e+06 0.224855 645 1874
1.76777e+06 0.196576 638 1820
1.77716e+06 0.212432 634 1735
1.78334e+06 0.215282 637 1847
1.82684e+06 0.211047 624 1682
2.01323e+06 0.239008 643 1867
1.94954e+06 0.226576 640 2339
1.90422e+06 0.222867 648 1644
1.9117e+06 0.223752 635 1872
1.99241e+06 0.219459 621 1857
1.95647e+06 0.232611 635 2081
1.97562e+06 0.239257 659 1983
1.94857e+06 0.222727 651 1862
1.90429e+06 0.222542 636 1813
1.98265e+06 0.237686 648 1833
1.87957e+06 0.216107 645 1726
1.9016e+06 0.214164 635 1734
1.79727e+06 0.208086 640 2404
1.90684e+06 0.21527 654 1904
1.98412e+06 0.235092 658 1877
1.83471e+06 0.212854 644 2240
1.88502e+06 0.225845 656 1707
1.77648e+06 0.21571 626 1654
1.76983e+06 0.203209 631 1685
1.95565e+06 0.219186 639 1916
1.92394e+06 0.221843 637 1779
1.74261e+06 0.196916 625 1683
1.76577e+06 0.210623 645 2119
1.82437e+06 0.218377 638 1855
1.97078e+06 0.236343 648 1749
1.89179e+06 0.207887 637 1820
1.88601e+06 0.226437 655 1910
1.85867e+06 0.206358 652 2312
2.04656e+06 0.248023 647 1988
1.96398e+06 0.23195 638 1828
1.87779e+06 0.212888 642 2390
1.78235e+06 0.205098 632 2070
1.93494e+06 0.233743 656 1728
1.84672e+06 0.21242 633 1886
1.90055e+06 0.219965 653 1809
1.81316e+06 0.215476 634 1709
1.95629e+06 0.234375 652 1745
1.87105e+06 0.221249 635 1867
1.92953e+06 0.218768 640 1632
1.9436e+06 0.225071 645 1580
1.98256e+06 0.239655 648 2105
1.91715e+06 0.226901 658 1679
1.73611e+06 0.198922 628 1833
1.90677e+06 0.22977 657 1864
1.9048e+06 0.221004 645 1859
1.85328e+06 0.220299 656 1893
1.82394e+06 0.209687 647 2242
1.90714e+06 0.220378 637 1678
2.07732e+06 0.245283 650 2092
1.87139e+06 0.226737 634 1755
1.95347e+06 0.213728 652 1757
1.91783e+06 0.234229 637 1912
1.92614e+06 0.220262 643 1968
1.79393e+06 0.20318 637 1787
1.94789e+06 0.223677 650 1809
1.81177e+06 0.208721 619 1623
1.74324e+06 0.202654 632 1629
1.88203e+06 0.209919 656 1664
1.88781e+06 0.219242 652 1750
1.85467e+06 0.209491 642 1733
1.90726e+06 0.231765 646 1879
1.86664e+06 0.225559 633 1638
1.89805e+06 0.216676 628 1709
1.97338e+06 0.234384 650 2118
1.75899e+06 0.204255 651 1747
1.88192e+06 0.221239 659 1875
1.81923e+06 0.204058 633 1752
2.04064e+06 0.248014 650 1730
1.78496e+06 0.212523 636 1857
2.07243e+06 0.243079 649 1809
1.94773e+06 0.225714 650 1605
1.90778e+06 0.221259 648 2167
2.02264e+06 0.233817 649 1800
1.84291e+06 0.210465 637 1774
1.90047e+06 0.22087 649 1750
1.82297e+06 0.205882 650 1765
1.81542e+06 0.209371 647 1734
1.74147e+06 0.206204 633 1877
1.97702e+06 0.233655 643 2137
1.91391e+06 0.208681 634 2019
1.80528e+06 0.219277 635 1794
1.80032e+06 0.201528 643 1787
1.89951e+06 0.222158 638 1829
1.84185e+06 0.21258 633 1777
2.02516e+06 0.243764 648 1795
1.82805e+06 0.202436 644 1634
1.88046e+06 0.213758 626 1944
1.9415e+06 0.22691 639 1869
1.99062e+06 0.232233 634 1799
1.90257e+06 0.225467 649 2076
1.8796e+06 0.227811 644 1814
1.92295e+06 0.227193 652 1859
1.75671e+06 0.200839 639 1747
1.86368e+06 0.222749 647 1792
1.91078e+06 0.220554 651 1721
1.80382e+06 0.216657 643 1694
1.96504e+06 0.233352 637 1864
1.93815e+06 0.226177 649 1684
1.8905e+06 0.216715 644 1828
1.80817e+06 0.210928 625 2199
1.91578e+06 0.221143 639 1712
1.91252e+06 0.223958 647 1667
1.73426e+06 0.195224 632 1908
1.93361e+06 0.232009 634 1729
1.7865e+06 0.202494 645 1903
1.79584e+06 0.204106 631 1697
1.77072e+06 0.211353 632 1891
1.89019e+06 0.213719 629 1625
1.75517e+06 0.208511 637 2086
1.94641e+06 0.222665 653 1822
1.80591e+06 0.208824 630 1643
1.76414e+06 0.199407 635 1818
1.93963e+06 0.229753 641 1743
1.81416e+06 0.215909 640 1804
1.8705e+06 0.229117 645 2047
1.97832e+06 0.224022 645 1930
1.75732e+06 0.19976 643 1788
1.81925e+06 0.214158 641 1789
1.86636e+06 0.210617 644 2318
1.84602e+06 0.206404 628 1723
1.84364e+06 0.207135 632 1764
1.94529e+06 0.227614 659 1659
1.86309e+06 0.21875 650 1736
1.89506e+06 0.222609 640 2343
1.88791e+06 0.225599 638 2110
1.93611e+06 0.232734 646 1649
2.19242e+06 0.254246 640 2266
1.79832e+06 0.196978 639 1504
1.89128e+06 0.218171 646 1765
1.92052e+06 0.225713 656 1697
1.92272e+06 0.226644 643 1768
1.85311e+06 0.228829 642 1825
1.72317e+06 0.195783 633 1918
1.91894e+06 0.226822 655 2076
1.75755e+06 0.205652 631 1856
1.94007e+06 0.216564 639 2055
1.926e+06 0.219581 637 1728
1.84218e+06 0.214496 645 2205
1.89007e+06 0.216791 640 2079
1.92765e+06 0.226804 636 1953
1.93179e+06 0.219333 640 2074
1.79868e+06 0.211905 633 1739
2.08411e+06 0.238407 648 2294
1.88926e+06 0.22357 628 1725
2.14231e+06 0.246456 667 2460
1.91785e+06 0.224478 653 1702
1.89837e+06 0.215262 637 1596
1.85306e+06 0.21734 637 1896
1.83416e+06 0.210464 646 1709
1.86772e+06 0.216483 637 2037
