TotalCosts RejectionRate MeanWaitingTime MaxWaitingTime 
2.4417e+06 0 1441 3954
2.68379e+06 0 1574 4879
3.28966e+06 0 1912 7137
3.0547e+06 0 1759 4565
2.71965e+06 0 1578 4780
2.88226e+06 0 1683 4620
2.96097e+06 0 1726 6145
2.55774e+06 0 1541 3669
3.17835e+06 0 1826 6197
4.6926e+06 0 2643 9810
3.7229e+06 0 2106 10707
3.71416e+06 0 2140 8360
2.71816e+06 0 1597 4158
2.97993e+06 0 1720 5376
4.24555e+06 0 2382 10830
2.9226e+06 0 1704 4301
3.28842e+06 0 1929 5916
3.17431e+06 0 1826 5284
2.49709e+06 0 1543 4643
2.69312e+06 0 1587 5007
3.03511e+06 0 1778 5680
3.15202e+06 0 1835 7105
2.83286e+06 0 1654 4368
2.71892e+06 0 1641 6769
4.05184e+06 0 2275 7315
2.42621e+06 0 1423 3670
3.00367e+06 0 1745 6720
2.52112e+06 0 1529 4205
3.18782e+06 0 1835 5212
3.58702e+06 0 2062 8488
3.10856e+06 0 1835 6346
2.829e+06 0 1663 5013
3.55786e+06 0 2053 6846
4.0255e+06 0 2250 6959
3.37376e+06 0 1958 8060
2.9962e+06 0 1685 4469
3.04763e+06 0 1764 4580
2.78676e+06 0 1594 4305
3.66319e+06 0 2117 9096
3.46875e+06 0 1959 6204
2.58992e+06 0 1542 4486
2.92423e+06 0 1684 4402
2.74409e+06 0 1616 4659
2.63481e+06 0 1559 5022
3.10089e+06 0 1838 6639
3.9945e+06 0 2250 7229
2.89666e+06 0 1685 6099
3.79492e+06 0 2153 8874
3.50414e+06 0 1941 6118
2.85445e+06 0 1665 5839
3.74432e+06 0 2135 5713
4.38932e+06 0 2419 8763
3.17107e+06 0 1860 6774
2.49307e+06 0 1499 3770
3.01807e+06 0 1728 5235
2.82439e+06 0 1681 4526
3.88588e+06 0 2186 5748
2.89e+06 0 1667 4733
3.99027e+06 0 2262 5722
3.04159e+06 0 1738 4433
2.78962e+06 0 1645 4850
3.17323e+06 0 1810 4717
2.63736e+06 0 1537 4671
