TotalCosts RejectionRate 
4.04717e+06 0.793649
2.50049e+06 0.683075
2.43235e+06 0.466818
2.22496e+06 0.276428
1.99893e+06 0.113278
1.85663e+06 0.100993
1.64437e+06 0.0607031
1.59985e+06 0.0439393
1.55774e+06 0.0393019
1.58782e+06 0.0382791
1.50819e+06 0.0353962
1.56989e+06 0.02316
1.47032e+06 0.0308435
1.44928e+06 0.0353545
1.43898e+06 0.0289574
1.43754e+06 0.0313275
1.41582e+06 0.0348228
1.57513e+06 0.023134
1.40523e+06 0.0310582
1.42294e+06 0.0242877
1.40384e+06 0.025348
1.42166e+06 0.0277889
1.36291e+06 0.0283145
1.37747e+06 0.0271801
1.45108e+06 0.0260758
1.42043e+06 0.0293802
1.51688e+06 0.0220641
1.39061e+06 0.0233124
1.37765e+06 0.0277813
1.35947e+06 0.0316897
1.37087e+06 0.0292996
1.39762e+06 0.0217027
1.33812e+06 0.0330487
1.38022e+06 0.0246134
1.4845e+06 0.0150031
1.41276e+06 0.0226636
1.37122e+06 0.0253462
1.35793e+06 0.0286426
1.45568e+06 0.0201189
1.40265e+06 0.0216699
1.32191e+06 0.0355808
1.37939e+06 0.0243887
1.37401e+06 0.026814
1.31026e+06 0.0303724
1.36503e+06 0.0287265
1.37088e+06 0.0307254
1.37711e+06 0.0268934
1.34281e+06 0.0307674
1.4222e+06 0.0205615
1.36333e+06 0.0204924
1.38566e+06 0.0277641
1.42305e+06 0.0191713
1.36494e+06 0.0225029
1.39088e+06 0.02282
1.35836e+06 0.0258642
1.39027e+06 0.028924
1.30272e+06 0.0361026
1.28938e+06 0.0420692
1.35492e+06 0.0397797
1.32273e+06 0.0310561
1.33391e+06 0.0316428
1.36889e+06 0.022172
1.35828e+06 0.0281506
1.35561e+06 0.0267189
1.42099e+06 0.0228543
1.41405e+06 0.0212661
1.3312e+06 0.0322538
1.32014e+06 0.0322405
1.42016e+06 0.0163114
1.32175e+06 0.0330153
1.26192e+06 0.0394098
1.30283e+06 0.0330254
1.274e+06 0.0380183
1.33326e+06 0.0302775
1.37495e+06 0.0238491
1.35981e+06 0.0278289
1.37915e+06 0.0228798
1.38357e+06 0.0233156
1.32911e+06 0.0304462
1.33217e+06 0.028119
