TotalCosts RejectionRate 
5.45675e+06 0.849432
3.89477e+06 0.99885
3.88836e+06 0.999112
3.85853e+06 0.999202
3.90439e+06 0.99926
3.88879e+06 0.999278
3.90008e+06 0.999294
3.8883e+06 0.999292
3.88297e+06 0.999284
3.87332e+06 0.999296
3.89263e+06 0.9993
3.87959e+06 0.999291
3.89134e+06 0.999299
3.88784e+06 0.999306
3.88304e+06 0.999298
3.88593e+06 0.999298
3.8827e+06 0.999298
3.88047e+06 0.999304
3.89512e+06 0.9993
3.88892e+06 0.999306
3.88462e+06 0.999305
3.87885e+06 0.999304
3.87408e+06 0.999296
3.87488e+06 0.999303
3.904e+06 0.999302
3.90194e+06 0.999301
3.88187e+06 0.999304
3.88803e+06 0.999306
3.89264e+06 0.999306
3.87396e+06 0.999296
3.8647e+06 0.999301
3.8822e+06 0.999305
3.88992e+06 0.999306
3.88479e+06 0.999305
3.90136e+06 0.999308
3.86651e+06 0.999302
3.8644e+06 0.999301
3.88122e+06 0.999304
3.88943e+06 0.999306
3.87647e+06 0.999304
3.87194e+06 0.999303
3.8765e+06 0.999303
3.89516e+06 0.999307
3.8907e+06 0.999306
3.8904e+06 0.999306
3.88797e+06 0.999306
3.88892e+06 0.999306
3.89081e+06 0.999306
3.88722e+06 0.999305
3.88687e+06 0.999305
3.89302e+06 0.999306
3.87609e+06 0.999303
3.87415e+06 0.999303
3.90382e+06 0.999308
3.89753e+06 0.999307
3.8823e+06 0.999305
3.90031e+06 0.999308
3.89416e+06 0.999307
3.88989e+06 0.999306
3.8728e+06 0.999303
3.88722e+06 0.999305
3.88252e+06 0.999305
3.86324e+06 0.999301
3.87312e+06 0.999303
3.91422e+06 0.99931
3.87936e+06 0.999304
3.88527e+06 0.999305
3.89993e+06 0.999308
3.88209e+06 0.999305
3.87196e+06 0.999303
3.8758e+06 0.999303
3.89389e+06 0.999306
3.87939e+06 0.999304
3.8913e+06 0.999299
3.88633e+06 0.999305
3.88616e+06 0.999305
3.90226e+06 0.999308
3.90037e+06 0.999308
3.88984e+06 0.999306
3.88665e+06 0.999305
3.88773e+06 0.999306
3.88495e+06 0.999305
3.88544e+06 0.999305
3.90974e+06 0.999309
3.89256e+06 0.999306
3.89143e+06 0.999306
3.89164e+06 0.999306
3.87731e+06 0.999304
3.90887e+06 0.999309
3.88894e+06 0.999306
3.88274e+06 0.999305
3.89175e+06 0.999306
3.87226e+06 0.999303
3.88935e+06 0.999306
3.886e+06 0.999305
3.90531e+06 0.999308
3.90752e+06 0.999309
3.8772e+06 0.999304
3.89837e+06 0.999307
3.89586e+06 0.999307
